Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1547460000.0 136.796 NA 109 454 0 NA NA NA 181 723 0 NA NA NA 838 20722 1871 NA NA NA 1400 9666 2064 NA NA
1547460000.0 136.798 NA 112 404 0 NA NA NA 178 634 0 NA NA NA 824 22050 1665 NA NA NA 1330 10129 1780 NA NA
1547460000.0 136.801 NA 110 390 0 NA NA NA 185 586 0 NA NA NA 797 15406 2068 NA NA NA 1356 8949 2491 NA NA
1547460000.0 136.803 NA 107 336 0 NA NA NA 182 496 0 NA NA NA 973 4852 1579 NA NA NA 1696 6699 1878 NA NA
1547460000.0 136.806 NA 109 399 0 NA NA NA 185 639 0 NA NA NA 1084 21701 2426 NA NA NA 1482 9947 3272 NA NA
1547460000.0 136.807 NA 111 438 0 NA NA NA 184 687 0 NA NA NA 806 24188 2240 NA NA NA 1185 10575 2808 NA NA
1547460000.0 136.809 NA 110 408 0 NA NA NA 190 640 0 NA NA NA 1048 23183 1947 NA NA NA 1470 10594 2228 NA NA
1547460000.0 136.81 NA 111 410 0 NA NA NA 190 610 0 NA NA NA 812 21045 1943 NA NA NA 1319 9619 2031 NA NA
1547460000.0 136.815 NA 107 346 0 NA NA NA 181 510 0 NA NA NA 929 5193 1774 NA NA NA 1626 7102 2285 NA NA
1547460000.0 136.819 NA 114 465 0 NA NA NA 187 725 0 NA NA NA 612 19200 1219 NA NA NA 664 6492 1286 NA NA
1547460000.0 136.825 NA 111 434 0 NA NA NA 180 605 0 NA NA NA 812 18493 1991 NA NA NA 1330 8625 2107 NA NA
1547460000.0 136.8311 NA 176 0 NA NA NA NA 261 0 NA NA NA NA 2712 199 NA NA NA NA 4157 1138 NA NA NA
1547460000.0 136.84 NA 111 439 0 NA NA NA 195 649 0 NA NA NA 965 25675 2218 NA NA NA 1421 11796 2647 NA NA
1547460000.0 136.841 NA 114 435 0 NA NA NA 189 663 0 NA NA NA 896 25470 2051 NA NA NA 1297 10813 2163 NA NA
1547460000.0 136.842 NA 114 463 0 NA NA NA 181 732 0 NA NA NA 641 20075 1144 NA NA NA 699 6594 1212 NA NA
1547460000.0 136.846 NA 108 416 0 NA NA NA 185 628 0 NA NA NA 1019 19059 1777 NA NA NA 1455 7701 2086 NA NA
1547460000.0 136.8521 NA 190 0 NA NA NA NA 305 0 NA NA NA NA 2595 144 NA NA NA NA 2020 289 NA NA NA
1547460000.0 136.8561 NA 260 363 0 NA NA NA 408 525 0 NA NA NA 2168 5232 2018 NA NA NA 2664 5573 2960 NA NA
1547460000.0 136.87 NA 229 363 0 NA NA NA 389 552 0 NA NA NA 2100 3786 1556 NA NA NA 2574 3838 1839 NA NA
1547460000.0 1362.0 97 140 338 0 NA NA 181 589 499 0 NA NA 5969 643 1876 811 NA NA 4247 469 2185 1104 NA NA
1547460000.0 1363.0 103 134 348 0 NA NA 180 590 490 0 NA NA 5294 638 1925 784 NA NA 4123 461 3160 906 NA NA
1547460000.0 1363.17 74 164 367 0 NA NA 146 544 554 0 NA NA 5649 800 2106 1195 NA NA 3982 550 2319 1477 NA NA
1547460000.0 1364.0 NA 137 344 0 NA NA NA 563 504 0 NA NA NA 905 3319 1139 NA NA NA 1404 5322 1586 NA NA
